time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V,sdV
0,0,0.1108,0,0.0022,2,0.1,0,2.43E-04,5,0.25,7.89E-31,0.0061,0,0.0061,0,0.0749,2,0.1,0,0.1101,2,0.1336,1,1
1,0.03650017,0.1108,0.018115037,0.0022,1.972012235,0.1,0.004541994,2.43E-04,4.96349983,0.25,0.005100329,0.0061,0.000222911,0.0061,0.030943643,0.0749,1.969056357,0.1,0.031735265,0.1101,2.000007494,0.1336,1,1
2,0.072880041,0.1108,0.030259348,0.0022,1.945445292,0.1,0.004814306,2.43E-04,4.927119959,0.25,0.017719722,0.0061,0.001641673,0.0061,0.073513685,0.0749,1.926486315,0.1,0.066424062,0.1101,2.00011966,0.1336,1,1
3,0.109892203,0.1108,0.037043218,0.0022,1.92014514,0.1,0.004851313,2.43E-04,4.890107797,0.25,0.032768987,0.0061,0.004653843,0.0061,0.119332686,0.0749,1.880667314,0.1,0.100387047,0.1101,2.0005375,0.1336,1,1
4,0.147671505,0.1108,0.040718126,0.0022,1.896051262,0.1,0.004771286,2.43E-04,4.852328495,0.25,0.047864558,0.0061,0.009128965,0.0061,0.166031561,0.0749,1.833968439,0.1,0.133771253,0.1101,2.001465802,0.1336,1,1
5,0.186146796,0.1108,0.042517907,0.0022,1.873095067,0.1,0.004632393,2.43E-04,4.813853204,0.25,0.061922771,0.0061,0.014767285,0.0061,0.212397097,0.0749,1.787602903,0.1,0.166747118,0.1101,2.003064577,0.1336,1,1
6,0.225171089,0.1108,0.043164394,0.0022,1.851207122,0.1,0.004466619,2.43E-04,4.774828911,0.25,0.074475654,0.0061,0.021247523,0.0061,0.257783102,0.0749,1.742216898,0.1,0.199456947,0.1101,2.005438688,0.1336,1,1
7,0.264578215,0.1108,0.043097538,0.0022,1.830320684,0.1,0.004291735,2.43E-04,4.735421785,0.25,0.085365144,0.0061,0.02828139,0.0061,0.301848849,0.0749,1.698151151,0.1,0.23200509,0.1101,2.008643509,0.1336,1,1
8,0.304207052,0.1108,0.042592119,0.0022,1.810373213,0.1,0.004117522,2.43E-04,4.695792948,0.25,0.094592881,0.0061,0.03562863,0.0061,0.344426618,0.0749,1.655573382,0.1,0.2644609,0.1101,2.012695635,0.1336,1,1
9,0.343911093,0.1108,0.041822193,0.0022,1.791306855,0.1,0.0039492,2.43E-04,4.656088907,0.25,0.102241803,0.0061,0.043096275,0.0061,0.385449287,0.0749,1.614550713,0.1,0.296865619,0.1101,2.017583674,0.1336,1,1
10,0.383561352,0.1108,0.04089881,0.0022,1.77306841,0.1,0.003789369,2.43E-04,4.616438648,0.25,0.108433649,0.0061,0.050532488,0.0061,0.424908712,0.0749,1.575091288,0.1,0.329239495,0.1101,2.023277274,0.1336,1,1
11,0.423046303,0.1108,0.039892956,0.0022,1.755609061,0.1,0.003639126,2.43E-04,4.576953697,0.25,0.113305493,0.0061,0.057819325,0.0061,0.462831038,0.0749,1.537168962,0.1,0.361587852,0.1101,2.029734039,0.1336,1,1
12,0.462270592,0.1108,0.038849888,0.0022,1.73888401,0.1,0.003498718,2.43E-04,4.537729408,0.25,0.116996782,0.0061,0.064866073,0.0061,0.499261765,0.0749,1.500738235,0.1,0.393905801,0.1101,2.036904529,0.1336,1,1
13,0.501153329,0.1108,0.03779823,0.0022,1.722852094,0.1,0.003367923,2.43E-04,4.498846671,0.25,0.11964233,0.0061,0.071603678,0.0061,0.534256637,0.0749,1.465743363,0.1,0.426181728,0.1101,2.044735746,0.1336,1,1
