time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V,sdV
0,0,0.001,0,0.001,2,0.201,0,0.001,5,0.501,7.89E-31,0.001,0,0.001,0,0.001,2,0.201,0,0.001,2,0.201,1,1
1,0.03650017,0.004650017,0.018115037,0.002811504,1.972012235,0.198201224,0.004541994,0.001454199,4.96349983,0.497349983,0.005100329,0.001510033,0.000222911,0.001022291,0.030943643,0.004094364,1.969056357,0.197905636,0.031735265,0.004173526,2.000007494,0.201000749,1,1
2,0.072880041,0.008288004,0.030259348,0.004025935,1.945445292,0.195544529,0.004814306,0.001481431,4.927119959,0.493711996,0.017719722,0.002771972,0.001641673,0.001164167,0.073513685,0.008351368,1.926486315,0.193648632,0.066424062,0.007642406,2.00011966,0.201011966,1,1
3,0.109892203,0.01198922,0.037043218,0.004704322,1.92014514,0.193014514,0.004851313,0.001485131,4.890107797,0.49001078,0.032768987,0.004276899,0.004653843,0.001465384,0.119332686,0.012933269,1.880667314,0.189066731,0.100387047,0.011038705,2.0005375,0.20105375,1,1
4,0.147671505,0.01576715,0.040718126,0.005071813,1.896051262,0.190605126,0.004771286,0.001477129,4.852328495,0.48623285,0.047864558,0.005786456,0.009128965,0.001912897,0.166031561,0.017603156,1.833968439,0.184396844,0.133771253,0.014377125,2.001465802,0.20114658,1,1
5,0.186146796,0.01961468,0.042517907,0.005251791,1.873095067,0.188309507,0.004632393,0.001463239,4.813853204,0.48238532,0.061922771,0.007192277,0.014767285,0.002476729,0.212397097,0.02223971,1.787602903,0.17976029,0.166747118,0.017674712,2.003064577,0.201306458,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.001,0,0.001,2,0.201,0,0.001,10,0.501,0,0.001,0,0.001,0,0.001,2,0.201,0,0.001,2,0.201,1,1
1,0.037626698684571996,0.004650017,0.018846866894527473,0.002811504,1.970813525749143,0.198201224,0.00482204175949735,0.001454199,9.962373301315418,0.497349983,0.005359341163115149,0.001510033,0.00015309226246748204,0.001022291,0.0320486533436548,0.004094364,1.9679513466563459,0.197905636,0.03265156466260714,0.004173526,2.000005132171245,0.201000749,1,1
2,0.07515863122754483,0.008288004,0.03186439196413624,0.004025935,1.9426365853984147,0.195544529,0.0052451534509707,0.001481431,9.92484136877244,0.493711996,0.01902265256051778,0.002771972,0.001148078916752358,0.001164167,0.07666162651671056,0.008351368,1.9233383734832896,0.193648632,0.06876539885982177,0.007642406,2.0000831377092045,0.201011966,1,1
3,0.1132167518120914,0.01198922,0.03957591281791876,0.004704322,1.9153263672420047,0.193014514,0.005426730292521317,0.001485131,9.886783248187891,0.49001078,0.035973870593458086,0.004276899,0.0033175883005984942,0.001465384,0.12527907679162364,0.012933269,1.8747209232083766,0.189066731,0.10447243321897158,0.011038705,2.000379530753495,0.20105375,1,1
4,0.15195501363340647,0.01576715,0.044221372917840875,0.005071813,1.8888581379181466,0.190605126,0.005480040884057072,0.001477129,9.848044986366576,0.48623285,0.05375529672840146,0.005786456,0.006632661861637659,0.001912897,0.1754810934036979,0.017603156,1.8245189065963023,0.184396844,0.13984231088771176,0.014377125,2.0010524896899127,0.20114658,1,1
5,0.19136843421710686,0.01961468,0.04700764188352458,0.005251791,1.8632073861919012,0.188309507,0.005460333638150214,0.001463239,9.808631565782871,0.48238532,0.07115881787741526,0.007192277,0.010928289245523418,0.002476729,0.2259983653403249,0.02223971,1.7740016346596754,0.17976029,0.17497981133343327,0.017674712,2.002237531163482,0.201306458,1,1
