time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V,sdV
0,0,0.001,0,0.001,2,0.201,0,0.001,5,0.501,7.89E-31,0.001,0,0.001,0,0.001,2,0.201,0,0.001,2,0.201,1,1
1,0.03650017,0.004650017,0.018115037,0.002811504,1.972012235,0.198201224,0.004541994,0.001454199,4.96349983,0.497349983,0.005100329,0.001510033,0.000222911,0.001022291,0.030943643,0.004094364,1.969056357,0.197905636,0.031735265,0.004173526,2.000007494,0.201000749,1,1
2,0.072880041,0.008288004,0.030259348,0.004025935,1.945445292,0.195544529,0.004814306,0.001481431,4.927119959,0.493711996,0.017719722,0.002771972,0.001641673,0.001164167,0.073513685,0.008351368,1.926486315,0.193648632,0.066424062,0.007642406,2.00011966,0.201011966,1,1
3,0.109892203,0.01198922,0.037043218,0.004704322,1.92014514,0.193014514,0.004851313,0.001485131,4.890107797,0.49001078,0.032768987,0.004276899,0.004653843,0.001465384,0.119332686,0.012933269,1.880667314,0.189066731,0.100387047,0.011038705,2.0005375,0.20105375,1,1
4,0.147671505,0.01576715,0.040718126,0.005071813,1.896051262,0.190605126,0.004771286,0.001477129,4.852328495,0.48623285,0.047864558,0.005786456,0.009128965,0.001912897,0.166031561,0.017603156,1.833968439,0.184396844,0.133771253,0.014377125,2.001465802,0.20114658,1,1
5,0.186146796,0.01961468,0.042517907,0.005251791,1.873095067,0.188309507,0.004632393,0.001463239,4.813853204,0.48238532,0.061922771,0.007192277,0.014767285,0.002476729,0.212397097,0.02223971,1.787602903,0.17976029,0.166747118,0.017674712,2.003064577,0.201306458,1,1
6,0.225171089,0.023517109,0.043164394,0.005316439,1.851207122,0.186120712,0.004466619,0.001446662,4.774828911,0.478482891,0.074475654,0.008447565,0.021247523,0.003124752,0.257783102,0.02677831,1.742216898,0.17522169,0.199456947,0.020945695,2.005438688,0.201543869,1,1
7,0.264578215,0.027457822,0.043097538,0.005309754,1.830320684,0.184032068,0.004291735,0.001429174,4.735421785,0.474542178,0.085365144,0.009536514,0.02828139,0.003828139,0.301848849,0.031184885,1.698151151,0.170815115,0.23200509,0.024200509,2.008643509,0.201864351,1,1
8,0.304207052,0.031420705,0.042592119,0.005259212,1.810373213,0.182037321,0.004117522,0.001411752,4.695792948,0.470579295,0.094592881,0.010459288,0.03562863,0.004562863,0.344426618,0.035442662,1.655573382,0.166557338,0.2644609,0.02744609,2.012695635,0.202269564,1,1
9,0.343911093,0.035391109,0.041822193,0.005182219,1.791306855,0.180130685,0.0039492,0.00139492,4.656088907,0.466608891,0.102241803,0.01122418,0.043096275,0.005309627,0.385449287,0.039544929,1.614550713,0.162455071,0.296865619,0.030686562,2.017583674,0.202758367,1,1
10,0.383561352,0.039356135,0.04089881,0.005089881,1.77306841,0.178306841,0.003789369,0.001378937,4.616438648,0.462643865,0.108433649,0.011843365,0.050532488,0.006053249,0.424908712,0.043490871,1.575091288,0.158509129,0.329239495,0.03392395,2.023277274,0.203327727,1,1

0,0,0.001,0,0.001,2,0.201,0,0.001,5,0.501,7.89E-31,0.001,0,0.001,0,0.001,2,0.201,0,0.001,2,0.201,1
